Tipo;Codigo Topaz;Agencia;Dirección;Area;Distrito;Provincia;Departamento;Zona
Matriz;283;Iquitos Matriz;Ag iquitos : jr. B.a.p. prospero n° 832-836, distrito de iquitos, provincia de maynas, departamento de loreto;321.38 m2;Iquitos;Maynas;Loreto;Oriente
Agencia;801;Israel;Pueblo joven ciudad blanca mz r. Lote 6 zona c;199 m2;Paucarpata;Arequipa;Arequipa;Sur
Agencia;525;Jaen;Calle simon bolivar 1247-1249;517.52 m2;Jaen;Jaen ;Cajamarca;Norte
Matriz;142;Jaen Matriz;Calle mariscal ureta 1412, jaén, jaén, cajamarca;476.06 m2;Jaen;Jaen ;Cajamarca;Norte
Agencia;854;Jauja;Jr. Bolivar 1198;479.97 m2;Jauja;Jauja;Junin;Centro
Agencia;119;Jicamarca;Aa.hh. Enrique montenegro mz.u lt.6;391.70 m2;Sjl;Lima;Lima;Lima
Matriz;510;Jose Galvez Matriz;Av. Lima 1089 urb. Villa poeta josé gálvez;647.65 m2;Vmt;Lima;Lima;Lima
Agencia;431;Juanjui;Jr. Huallaga 734;377.16 m2;Juanjui;Mariscal Cáceres;San Martin;Oriente
Agencia;105;Juli;Jr. San juan n° 123-b ;429.02 m2;Juli;Chucuito;Puno;Sur
Agencia;498;Juliaca;Jr. Huayna capac n° 130 - zona cercado;365.07 m2;Juliaca;San Roman ;Puno;Sur
Agencia;114;La 54 de Cerro Colorado;Asentamiento Poblacional Asociación Pro Vivienda de Interes Social Javier Luna Pizarro Mz. I lote 13, Autopista N° S/N;290 m2;Cerro Colorado;Arequipa;Arequipa;Sur
Agencia;810;La Esperanza Capricornio;Av. Jose gabriel condorcanqui n° 2203 – la esperanza. Ref.: a la altura del puente capricornio;352.25 m2;Esperanza;Trujillo;La Libertad;Norte
Matriz;541;La Esperanza Matriz;Pje la esperanza av. Jose gabriel condorcanqui 1264;583.06 m2;Trujilllo;Trujillo;La Libertad;Norte
Matriz;554;La Hermelinda Matriz;Av. America norte 1351;774.36 m2;Trujilllo;Trujillo;La Libertad;Norte
Matriz;154;La Joya;Pueblo Joven El Triunfo Mz. D Lt. 07 Zona cruce La Joya;488.13 m2;La Joya;Arequipa;Arequipa;Sur
OI;OI;La Matanza;Av 27 de noviembre 251;85.8 m2;La Matanza;Morropon;Piura;Norte
Matriz;538;La Merced Matriz;Calle. Tarma 244 lte a prov. Chanchamayo;539.55 m2;Chanchamayo;Chanchamayo ;Junin;Centro
BN;BN;La Punta;Avenida San Martin N° 147;63.05;Punta de Bombon;Islay;Arequipa;Sur
Agencia;25;La Union;Calle lima 885;760.94 m2;La Union;Piura;Piura;Norte
Agencia;864;La Union De Huanuco;Centro poblado LA UNIÓN, Mz. F1 - Lote 8 ;220.67 m2;La Union;Dos De Mayo;Huanuco;Centro
Agencia;319;La Victoria Chiclayo; Av. Los incas n° 905 mz 80 lote 10a - cercado;331.94 m2;Victoria;Chiclayo;Lambayeque;Norte
Matriz;298;Lambayeque;Av. Ramón castilla n° 860, distrito, provincia y departamento de lambayeque;485.68 m2;Lambayeque;Lambayeque;Lambayeque;Norte
Agencia;140;Las Lomas;Jr. Alfonso ugarte s/n las lomas;277 m2;Las Lomas;Piura;Piura;Norte
Agencia;58;Las Mercedes;Av. Jorge Chavez 501 BL B zona 1 Urb. Las Mercedes;490.8 m2;Las Mercedes;Puno;Puno;Sur
Agencia;244;Laykakota;Jr. Arequipa 1005;349.46 m2;Platería;Puno;Puno;Sur
Matriz;462;Los Olivos Matriz;Av. Alfredo mendiola 3491;1004.89 m2;Los Olivos;Lima;Lima;Lima
Agencia;317;Los Organos;Calle uno casa n° 1- 710, manzana 0837, barrio de miraflores, distrito de organos, provincia de talara, departamento de piura;330.88 m2;Organos;Talara;Piura;Norte
Agencia;317;Los Organos;Calle uno casa n° 1- 710, manzana 0837, barrio de miraflores, distrito de organos, provincia de talara, departamento de piura;330.88 m2;Organos;Talara;Piura;Norte
Agencia;337;Lurin;Las virreynas mz. F lt 07;354.70 m2;Lurin;Lima;Lima;Lima
Matriz;482;Lurin Matriz;Mz.d lt.2 urb. Las virreynas;733.99 m2;Lurin;Lima;Lima;Lima
Agencia;488;Magdalena;Av. Brasil N° 3256 - 3260;475 m2;Magdalena Del Mar;Lima;Lima;Lima
Matriz;348;Mala Matriz;Av. Marchand nº 212;413.39 m2;Mala;Cañete;Lima;Lima
Agencia;340;Mañazo;Av. Panamericana #821 , mañazo – puno;387.36 m2;Mañazo;Puno;Puno;Sur
Matriz;520;Mariscal Caceres;Av Proceres de la Indp. 5116 (Mz. J1 Lte 23 ) Urb. Mariscal Caceres;671 m2;Sjl;Lima;Lima;Lima
Agencia;561;Mayorista Vallejo;Av. Cesar vallejo 311-329  la libertad;649.65 m2;Trujilllo;Trujillo;La Libertad;Norte
Agencia;125;Melgar;JR. 25 DE DICIEMBRE N° 687 ;309.95 m2;AYAVIRI;Melgar;PUNO;Sur
Agencia;501;Mexico;Av. Mexico 1600-1604 Urb. El fundo La Polvora;339.02 m2;La Victoria;Lima;Lima;Lima
Agencia;562;Minka;Av. Argentina 3093-3257;244 m2;Callao;Callao;Lima;Lima
Matriz;535;Miraflores;Av. Teniente ferre 207;1125 m2;Miraflores;Arequipa;Arequipa;Sur
Agencia;405;Mochumi;CALLE SAN JOSE N°407 Distrito de Mochumi, Provincia y Departamento de Lambayeque.;267.23 m2;Mochumi;Lambayeque;Lambayeque;Norte
Matriz;610;Mollendo;Centro Poblado Mollendo Mz H4, Lote 10. Distrito de Mollendo;914.91 m2;Mollendo;Islay;Arequipa;Sur
Agencia;403;Moquegua;Calle ancash nro 112;345.6 m2;Moquegua;Mariscal Nieto;Moquegua;Sur
Agencia;384;Morrope;Calle Bolognesi  401 Distrito de Morrope, Provincia y Departamento de Lambayeque.;327.68 m2;Morrope;Lambayeque;Lambayeque;Norte
Agencia;43;Morropon;Jr. Adrianzen  572;426.49 m2;Morropon;Morropon;Piura;Norte
Matriz;499;Moshoqueque Matriz;Av. Bolivar n° 384 - urb. Moshoqueque;823.90 m2;Jose Leonardo Ortiz;Chiclayo;Lambayeque;Norte
OI;36;Motupe;Calle el carmen n° 523 ;165.51 m2;Motupe;Lambayeque;Lambayeque;Norte
OE;OE;Motupe;Calle emiliano niño 508;142.80 m2;Motupe;Lambayeque;Lambayeque;Norte
Matriz;542;Moyobamba Matriz;Jr. San martin 466  distrito belen;566.18 m2;Moyobamba;Moyobamba ;San Martin;Oriente
Agencia;533;Musa;Mz a lt 6 paul poblet lindt (alt. Km 12 carretera cieneguilla);502 m2;Pachacamac;Lima;Lima;Lima
Agencia;88;Nueva Cajamarca;Av.cajamarca 725;261 m2;Nueva Cajamarca;Rioja;San Martin;Oriente
Agencia;428;Nueva Esperanza;Avenida 26 de noviembre n°1908 mz y lote 31, pueblo joven virgen de lourdes, asentamiento humano nueva esperanza,;250 m2;Vmt;Lima;Lima;Lima
Agencia;786;Nuevo Chimbote;Urb. Las Casuarinas Mz. A1 Lote 10 Parcela 4 sector 72 ;463.38 m2;Nuevo Chimbote;Santa;Ancash;Norte
Matriz;355;Nuevo Chimbote Matriz;Oe nuevo chimbote : av. Pacifico lote (3-4) a, mz h urbanizacion buenos aires 1° etapa, programa de vivienda primera etapa u-1 nucleo urbano buenos aires;459 m2;Nuevo Chimbote;Santa;Ancash;Norte
Agencia;381;Olmos;Calle santo domingo #830;376.93 m2;Olmos;Lambayeque;Lambayeque;Norte
Matriz;357;Otuzco;Calle bolivar 565. Otuzco;397.45 m2;Otuzco;Otuzco;La Libertad;Norte
Agencia;299;Ovalo Mariategui;Ppjj villa el salvador mz a lote 10 sector 6, grupo residencial 8a;394.52 m2;Ves;Lima;Lima;Lima
Matriz;814;Ovalo Zapallal;Lote 1, mz l-1 parcelación zapallal;404.97 m2;Puente Piedra;Lima;Lima;Lima
Agencia;420;Oxapampa;Jr. Bolognesi #349-353;354.57 m2;Oxapampa;Oxapampa;Pasco;Centro
OI;65;Oyotun;CALLE SAN JOSE N° 226;88 m2;Oyotun;Chiclayo;Lambayeque;Norte
Agencia;164;Pachacamac I Etapa;Mz. C Lt. 07 Urb. Pachacutec 1era. Etapa;220.38 m2;Ves;Lima;Lima;Lima
Agencia;511;Pachacamac II Etapa;Mz L Lote 16 2da etapa Urb. Pachacamac sector 4 ;397 m2;Ves;Lima;Lima;Lima
Agencia;804;Pachacamac Pueblo;Av. Paul poblet lind. Mz 45 lote 04 pueblo tradicional pachacamac cercado;441.93 m2;Pachacamac;Lima;Lima;Lima
Agencia;174;Pachacutec;Prolongación av. 225, mz.s, lote 04 sector c-gr-c4-proyecto piloto pachacútec;258 m2;Ventanilla;Callao;Lima;Lima
Agencia;89;Pachacutec Bajo;Mz N- Lote 1 ZN Proyecto Especial Pachacutec Del Asentamiento Humano Sol Y Mar Sector 1;461.63 m2;Ventanilla;Callao;Lima;Lima
OI;214;Paimas;Calle Jose Carlos Mariátegui Mz. R Lote 03, Distrito de Paimas, Provincia de Ayabaca y Departamento de Piura;87.83 m2;Paimas;Ayabaca;Piura;Norte
Agencia;252;Paita;Av. Victor raul haya de la torre mz b lote 4, asentamiento humano 5 de febrero;179.80 m2;Paita;Paita;Piura;Norte
Agencia;321;Pampas Inalambricas;Asentamiento Humano Integración Latinoamericana Mz Y Lote 43 Pampa Inalámbica, Provincia de Ilo, departamento de Moquegua;427.59 m2;Ilo;Ilo;Moquegua;Sur
Agencia;344;Pamplona;Pueblo joven pamplona alta mz a lote 18;476.76 m2;Sjm;Lima;Lima;Lima
Agencia;881;Panao;Jirón lima 546;223.68 m2;Panao;Pachitea;Huanuco;Centro
